Pair,Groupe,Feature,Type,Forward,IC,ICIR,IC_sign,p-value,n_obs,pct_pos,pct_pos_raw,Carry,Verdict
USDCHF,G10,Mom_120,Nouvelle,20j,-0.0181,-0.957,-1,0.3712,2456,18%,0.1833,3.625,JETTE
USDCHF,G10,Mom_Ratio,Nouvelle,20j,0.013,0.169,1,0.5203,2456,64%,0.6417,3.625,JETTE
USDCHF,G10,BB_Width,Nouvelle,20j,0.0087,0.233,1,0.6677,2456,62%,0.6167,3.625,JETTE
USDCHF,G10,Dist_MA20,Nouvelle,20j,0.0185,0.226,1,0.3583,2456,63%,0.6333,3.625,JETTE
USDCLP,EM,Vol_20,Existante,5j,-0.0616,-1.013,-1,0.0022,2471,20%,0.1983,-1.375,GARDE
USDCLP,EM,Hurst,Existante,5j,0.0217,0.262,1,0.2802,2471,64%,0.6364,-1.375,JETTE
USDCLP,EM,Mom_20,Nouvelle,5j,-0.0151,-0.624,-1,0.4522,2471,26%,0.2645,-1.375,JETTE
USDCLP,EM,Mom_60,Nouvelle,5j,0.0077,-0.373,1,0.701,2471,32%,0.3223,-1.375,JETTE
USDCLP,EM,Mom_120,Nouvelle,5j,0.0126,-0.434,1,0.5305,2471,35%,0.3471,-1.375,JETTE
USDCLP,EM,Mom_Ratio,Nouvelle,5j,-0.0118,-0.337,-1,0.5564,2471,42%,0.4215,-1.375,JETTE
USDCLP,EM,BB_Width,Nouvelle,5j,-0.0341,-0.65,-1,0.0901,2471,28%,0.281,-1.375,FILTRE
USDCLP,EM,Dist_MA20,Nouvelle,5j,0.0246,0.181,1,0.221,2471,61%,0.6116,-1.375,JETTE
USDCLP,EM,Vol_20,Existante,20j,-0.0416,-0.189,-1,0.0394,2456,41%,0.4083,-1.375,JETTE
USDCLP,EM,Hurst,Existante,20j,0.0297,0.345,1,0.1408,2456,56%,0.5583,-1.375,FILTRE
USDCLP,EM,Mom_20,Nouvelle,20j,0.0011,-0.099,1,0.958,2456,53%,0.5333,-1.375,JETTE
USDCLP,EM,Mom_60,Nouvelle,20j,0.0195,0.013,1,0.3334,2456,53%,0.5333,-1.375,JETTE
USDCLP,EM,Mom_120,Nouvelle,20j,0.0006,-0.321,1,0.9743,2456,36%,0.3583,-1.375,JETTE
USDCLP,EM,Mom_Ratio,Nouvelle,20j,0.0154,0.105,1,0.4448,2456,60%,0.6,-1.375,JETTE
USDCLP,EM,BB_Width,Nouvelle,20j,-0.0521,-1.014,-1,0.0098,2456,17%,0.1667,-1.375,GARDE
USDCLP,EM,Dist_MA20,Nouvelle,20j,-0.0021,-0.062,-1,0.9174,2456,52%,0.525,-1.375,JETTE
USDCNY,EM,Vol_20,Existante,5j,0.0131,-0.176,1,0.5137,2470,46%,0.4628,0.525,JETTE
USDCNY,EM,Hurst,Existante,5j,0.0523,0.752,1,0.0093,2470,79%,0.7851,0.525,GARDE
USDCNY,EM,Mom_20,Nouvelle,5j,0.0895,0.886,1,0.0,2470,83%,0.8347,0.525,GARDE
USDCNY,EM,Mom_60,Nouvelle,5j,0.0625,0.182,1,0.0019,2470,55%,0.5537,0.525,JETTE
USDCNY,EM,Mom_120,Nouvelle,5j,0.0423,-0.059,1,0.0356,2470,45%,0.4545,0.525,JETTE
USDCNY,EM,Mom_Ratio,Nouvelle,5j,0.086,1.023,1,0.0,2470,85%,0.8512,0.525,GARDE
USDCNY,EM,BB_Width,Nouvelle,5j,0.0098,-0.332,1,0.6265,2470,40%,0.3967,0.525,JETTE
USDCNY,EM,Dist_MA20,Nouvelle,5j,0.082,0.689,1,0.0,2470,78%,0.7769,0.525,GARDE
USDCNY,EM,Vol_20,Existante,20j,0.0187,-0.074,1,0.3552,2455,52%,0.5167,0.525,JETTE
USDCNY,EM,Hurst,Existante,20j,0.0456,0.451,1,0.024,2455,69%,0.6917,0.525,FILTRE
USDCNY,EM,Mom_20,Nouvelle,20j,0.0662,0.848,1,0.001,2455,78%,0.7833,0.525,GARDE
USDCNY,EM,Mom_60,Nouvelle,20j,0.038,0.021,1,0.0596,2455,48%,0.475,0.525,JETTE
USDCNY,EM,Mom_120,Nouvelle,20j,0.0183,-0.243,1,0.3645,2455,38%,0.375,0.525,JETTE
USDCNY,EM,Mom_Ratio,Nouvelle,20j,0.0658,1.095,1,0.0011,2455,87%,0.8667,0.525,GARDE
USDCNY,EM,BB_Width,Nouvelle,20j,0.0146,-0.001,1,0.4699,2455,49%,0.4917,0.525,JETTE
USDCNY,EM,Dist_MA20,Nouvelle,20j,0.0793,1.214,1,0.0001,2455,87%,0.8667,0.525,GARDE
USDCZK,EM,Vol_20,Existante,5j,-0.0251,-0.501,-1,0.2128,2471,22%,0.2231,-0.125,JETTE
USDCZK,EM,Hurst,Existante,5j,0.0086,0.19,1,0.6706,2471,58%,0.5785,-0.125,JETTE
USDCZK,EM,Mom_20,Nouvelle,5j,-0.0014,-0.308,-1,0.9446,2471,38%,0.3802,-0.125,JETTE
USDCZK,EM,Mom_60,Nouvelle,5j,-0.0076,-0.541,-1,0.7064,2471,36%,0.3636,-0.125,JETTE
USDCZK,EM,Mom_120,Nouvelle,5j,0.0007,-0.687,1,0.9734,2471,31%,0.3058,-0.125,JETTE
USDCZK,EM,Mom_Ratio,Nouvelle,5j,0.0104,0.099,1,0.6059,2471,58%,0.5785,-0.125,JETTE
USDCZK,EM,BB_Width,Nouvelle,5j,-0.0144,-0.179,-1,0.4746,2471,35%,0.3471,-0.125,JETTE
USDCZK,EM,Dist_MA20,Nouvelle,5j,-0.0074,-0.361,-1,0.7118,2471,45%,0.4545,-0.125,JETTE
USDCZK,EM,Vol_20,Existante,20j,-0.0288,-0.341,-1,0.154,2456,40%,0.4,-0.125,JETTE
USDCZK,EM,Hurst,Existante,20j,0.002,-0.099,1,0.9192,2456,51%,0.5083,-0.125,JETTE
USDCZK,EM,Mom_20,Nouvelle,20j,-0.0131,-0.408,-1,0.5157,2456,34%,0.3417,-0.125,JETTE
USDCZK,EM,Mom_60,Nouvelle,20j,-0.001,-0.421,-1,0.9607,2456,32%,0.325,-0.125,JETTE
USDCZK,EM,Mom_120,Nouvelle,20j,0.0065,-0.297,1,0.7465,2456,38%,0.3833,-0.125,JETTE
USDCZK,EM,Mom_Ratio,Nouvelle,20j,-0.013,-0.208,-1,0.5196,2456,41%,0.4083,-0.125,JETTE
USDCZK,EM,BB_Width,Nouvelle,20j,-0.0132,-0.07,-1,0.5125,2456,53%,0.5333,-0.125,JETTE
USDCZK,EM,Dist_MA20,Nouvelle,20j,-0.0113,-0.331,-1,0.577,2456,32%,0.3167,-0.125,JETTE
USDDKK,G10,Vol_20,Existante,5j,-0.0157,-0.421,-1,0.4345,2471,31%,0.3058,1.525,JETTE
USDDKK,G10,Hurst,Existante,5j,-0.0049,-0.134,-1,0.808,2471,48%,0.4793,1.525,JETTE
USDDKK,G10,Mom_20,Nouvelle,5j,-0.0054,-0.482,-1,0.7868,2471,31%,0.3058,1.525,JETTE
USDDKK,G10,Mom_60,Nouvelle,5j,0.0044,-0.688,1,0.8275,2471,32%,0.3223,1.525,JETTE
USDDKK,G10,Mom_120,Nouvelle,5j,0.0128,-0.763,1,0.5235,2471,23%,0.2314,1.525,JETTE
USDDKK,G10,Mom_Ratio,Nouvelle,5j,0.0,-0.158,1,0.9992,2471,49%,0.4876,1.525,JETTE
USDDKK,G10,BB_Width,Nouvelle,5j,-0.0163,-0.379,-1,0.419,2471,32%,0.3223,1.525,JETTE
USDDKK,G10,Dist_MA20,Nouvelle,5j,-0.0086,-0.502,-1,0.6698,2471,32%,0.3223,1.525,JETTE
USDDKK,G10,Vol_20,Existante,20j,-0.0148,-0.251,-1,0.4632,2456,44%,0.4417,1.525,JETTE
USDDKK,G10,Hurst,Existante,20j,-0.0098,-0.213,-1,0.627,2456,49%,0.4917,1.525,JETTE
USDDKK,G10,Mom_20,Nouvelle,20j,0.0013,-0.153,1,0.9481,2456,44%,0.4417,1.525,JETTE
USDDKK,G10,Mom_60,Nouvelle,20j,0.0086,-0.475,1,0.6704,2456,27%,0.2667,1.525,JETTE
USDDKK,G10,Mom_120,Nouvelle,20j,0.0207,-0.431,1,0.3043,2456,32%,0.325,1.525,JETTE
USDDKK,G10,Mom_Ratio,Nouvelle,20j,-0.0079,-0.054,-1,0.6944,2456,41%,0.4083,1.525,JETTE
USDDKK,G10,BB_Width,Nouvelle,20j,-0.0107,-0.253,-1,0.5973,2456,38%,0.375,1.525,JETTE
USDDKK,G10,Dist_MA20,Nouvelle,20j,0.0004,-0.086,1,0.9837,2456,46%,0.4583,1.525,JETTE
USDHKD,EM,Vol_20,Existante,5j,0.0609,0.743,1,0.0024,2471,79%,0.7851,-1.625,GARDE
USDHKD,EM,Hurst,Existante,5j,-0.0061,-0.022,-1,0.7628,2471,49%,0.4876,-1.625,JETTE
USDHKD,EM,Mom_20,Nouvelle,5j,0.0208,-0.171,1,0.3009,2471,42%,0.4215,-1.625,JETTE
USDHKD,EM,Mom_60,Nouvelle,5j,-0.002,-0.678,-1,0.9199,2471,22%,0.2231,-1.625,JETTE
USDHKD,EM,Mom_120,Nouvelle,5j,-0.0246,-0.63,-1,0.2222,2471,24%,0.2397,-1.625,JETTE
USDHKD,EM,Mom_Ratio,Nouvelle,5j,0.0127,-0.214,1,0.5285,2471,43%,0.4298,-1.625,JETTE
USDHKD,EM,BB_Width,Nouvelle,5j,0.0812,0.965,1,0.0001,2471,83%,0.8347,-1.625,GARDE
USDHKD,EM,Dist_MA20,Nouvelle,5j,0.034,0.162,1,0.0912,2471,53%,0.5289,-1.625,JETTE
USDHKD,EM,Vol_20,Existante,20j,0.031,0.487,1,0.1248,2456,67%,0.6667,-1.625,FILTRE
USDHKD,EM,Hurst,Existante,20j,-0.0163,-0.102,-1,0.4192,2456,48%,0.475,-1.625,JETTE
USDHKD,EM,Mom_20,Nouvelle,20j,-0.0252,-0.436,-1,0.212,2456,29%,0.2917,-1.625,JETTE
USDHKD,EM,Mom_60,Nouvelle,20j,-0.0324,-0.478,-1,0.1081,2456,24%,0.2417,-1.625,FILTRE
USDHKD,EM,Mom_120,Nouvelle,20j,-0.0282,-0.484,-1,0.1622,2456,28%,0.2833,-1.625,JETTE
USDHKD,EM,Mom_Ratio,Nouvelle,20j,-0.0329,-0.661,-1,0.1028,2456,32%,0.325,-1.625,FILTRE
USDHKD,EM,BB_Width,Nouvelle,20j,0.0422,0.518,1,0.0365,2456,67%,0.6667,-1.625,FILTRE
USDHKD,EM,Dist_MA20,Nouvelle,20j,-0.0162,-0.2,-1,0.4212,2456,39%,0.3917,-1.625,JETTE
USDHUF,EM,Vol_20,Existante,5j,-0.0218,-0.628,-1,0.2788,2471,24%,0.2397,-2.875,JETTE
USDHUF,EM,Hurst,Existante,5j,0.0141,0.224,1,0.4822,2471,55%,0.5537,-2.875,JETTE
USDHUF,EM,Mom_20,Nouvelle,5j,-0.006,-0.57,-1,0.767,2471,33%,0.3306,-2.875,JETTE
USDHUF,EM,Mom_60,Nouvelle,5j,0.0001,-0.79,1,0.9972,2471,26%,0.2645,-2.875,JETTE
USDHUF,EM,Mom_120,Nouvelle,5j,0.0059,-0.826,1,0.7685,2471,22%,0.2231,-2.875,JETTE
USDHUF,EM,Mom_Ratio,Nouvelle,5j,-0.0018,-0.208,-1,0.9295,2471,46%,0.4628,-2.875,JETTE
USDHUF,EM,BB_Width,Nouvelle,5j,0.0151,0.062,1,0.4536,2471,48%,0.4793,-2.875,JETTE
